EXPERIMENT_CMD,DECODER,ERROR_WEIGHT,LEVEL,MAX_IT_LIST,R_BITS,N_TESTS
./bin/main,PickyFix,160,1,2,10001,100000
./bin/main,PickyFix,160,1,2,10101,100000
./bin/main,PickyFix,160,1,2,10201,100000
./bin/main,PickyFix,160,1,2,10301,100000
./bin/main,PickyFix,160,1,2,10401,100000
./bin/main,PickyFix,160,1,2,10501,100000
./bin/main,PickyFix,160,1,2,10601,100000
./bin/main,PickyFix,160,1,2,10701,100000
./bin/main,PickyFix,160,1,2,10801,100000
./bin/main,PickyFix,160,1,2,10901,100000
./bin/main,PickyFix,160,1,2,11001,100000
./bin/main,PickyFix,160,1,2,11101,100000
./bin/main,PickyFix,160,1,2,11201,1000000
./bin/main,PickyFix,160,1,2,11301,1000000
./bin/main,PickyFix,160,1,2,11401,1000000
./bin/main,PickyFix,160,1,2,11501,1000000
./bin/main,PickyFix,160,1,2,11601,1000000
./bin/main,PickyFix,160,1,2,11701,1000000
./bin/main,PickyFix,160,1,2,11801,1000000
./bin/main,PickyFix,160,1,2,11901,1000000
./bin/main,PickyFix,160,1,2,12001,1000000
./bin/main,PickyFix,160,1,2,12101,1000000
./bin/main,PickyFix,160,1,2,12201,1000000
./bin/main,PickyFix,160,1,2,12301,1000000
./bin/main,PickyFix,160,1,2,12401,1000000
./bin/main,PickyFix,160,1,3,10001,100000
./bin/main,PickyFix,160,1,3,10101,100000
./bin/main,PickyFix,160,1,3,10201,100000
./bin/main,PickyFix,160,1,3,10301,100000
./bin/main,PickyFix,160,1,3,10401,100000
./bin/main,PickyFix,160,1,3,10501,100000
./bin/main,PickyFix,160,1,3,10601,100000
./bin/main,PickyFix,160,1,3,10701,100000
./bin/main,PickyFix,160,1,3,10801,100000
./bin/main,PickyFix,160,1,3,10901,100000
./bin/main,PickyFix,160,1,3,11001,100000
./bin/main,PickyFix,160,1,3,11101,100000
./bin/main,PickyFix,160,1,3,11201,1000000
./bin/main,PickyFix,160,1,3,11301,1000000
./bin/main,PickyFix,160,1,3,11401,1000000
./bin/main,PickyFix,160,1,3,11501,1000000
./bin/main,PickyFix,160,1,3,11601,1000000
./bin/main,PickyFix,160,1,3,11701,1000000
./bin/main,PickyFix,160,1,3,11801,1000000
./bin/main,PickyFix,160,1,3,11901,1000000
./bin/main,PickyFix,160,1,3,12001,1000000
./bin/main,PickyFix,160,1,3,12101,1000000
./bin/main,PickyFix,160,1,3,12201,1000000
./bin/main,PickyFix,160,1,3,12301,1000000
./bin/main,PickyFix,160,1,3,12401,1000000
./bin/main,PickyFix,160,1,4,10001,100000
./bin/main,PickyFix,160,1,4,10101,100000
./bin/main,PickyFix,160,1,4,10201,100000
./bin/main,PickyFix,160,1,4,10301,100000
./bin/main,PickyFix,160,1,4,10401,100000
./bin/main,PickyFix,160,1,4,10501,100000
./bin/main,PickyFix,160,1,4,10601,100000
./bin/main,PickyFix,160,1,4,10701,100000
./bin/main,PickyFix,160,1,4,10801,100000
./bin/main,PickyFix,160,1,4,10901,100000
./bin/main,PickyFix,160,1,4,11001,100000
./bin/main,PickyFix,160,1,4,11101,100000
./bin/main,PickyFix,160,1,4,11201,1000000
./bin/main,PickyFix,160,1,4,11301,1000000
./bin/main,PickyFix,160,1,4,11401,1000000
./bin/main,PickyFix,160,1,4,11501,1000000
./bin/main,PickyFix,160,1,4,11601,1000000
./bin/main,PickyFix,160,1,4,11701,1000000
./bin/main,PickyFix,160,1,4,11801,1000000
./bin/main,PickyFix,160,1,4,11901,1000000
./bin/main,PickyFix,160,1,4,12001,1000000
./bin/main,PickyFix,160,1,4,12101,1000000
./bin/main,PickyFix,160,1,4,12201,10000000
./bin/main,PickyFix,160,1,4,12301,10000000
./bin/main,PickyFix,160,1,4,12401,10000000
./bin/main,PickyFix,160,1,5,10001,100000
./bin/main,PickyFix,160,1,5,10101,100000
./bin/main,PickyFix,160,1,5,10201,100000
./bin/main,PickyFix,160,1,5,10301,100000
./bin/main,PickyFix,160,1,5,10401,100000
./bin/main,PickyFix,160,1,5,10501,100000
./bin/main,PickyFix,160,1,5,10601,100000
./bin/main,PickyFix,160,1,5,10701,100000
./bin/main,PickyFix,160,1,5,10801,100000
./bin/main,PickyFix,160,1,5,10901,100000
./bin/main,PickyFix,160,1,5,11001,100000
./bin/main,PickyFix,160,1,5,11101,100000
./bin/main,PickyFix,160,1,5,11201,1000000
./bin/main,PickyFix,160,1,5,11301,1000000
./bin/main,PickyFix,160,1,5,11401,1000000
./bin/main,PickyFix,160,1,5,11501,1000000
./bin/main,PickyFix,160,1,5,11601,1000000
./bin/main,PickyFix,160,1,5,11701,1000000
./bin/main,PickyFix,160,1,5,11801,1000000
./bin/main,PickyFix,160,1,5,11901,1000000
./bin/main,PickyFix,160,1,5,12001,5000000
./bin/main,PickyFix,160,1,5,12101,10000000
./bin/main,PickyFix,160,1,5,12201,10000000
./bin/main,PickyFix,160,1,5,12301,10000000
./bin/main,PickyFix,160,1,5,12401,10000000