DECODER,LEVEL,MAX_IT_LIST,R_BITS,N_TESTS,EXPERIMENT_CMD
BGF,1,2,9501,500000,./bin/main
BGF,1,2,9601,500000,./bin/main
BGF,1,2,9701,500000,./bin/main
BGF,1,2,9801,500000,./bin/main
BGF,1,2,9901,500000,./bin/main
BGF,1,2,10001,500000,./bin/main
BGF,1,2,10101,1000000,./bin/main
BGF,1,2,10201,1000000,./bin/main
BGF,1,2,10301,1000000,./bin/main
BGF,1,2,10401,10000,./bin/main
BGF,1,2,10501,10000,./bin/main
BGF,1,2,10601,10000,./bin/main
BGF,1,2,10701,10000,./bin/main
BGF,1,2,10801,10000,./bin/main
BGF,1,2,10901,10000,./bin/main
BGF,1,2,11001,10000,./bin/main
BGF,1,2,11001,10000,./bin/main
BGF,1,2,11101,10000,./bin/main
BGF,1,2,11201,10000,./bin/main
BGF,1,2,11301,10000,./bin/main
BGF,1,2,11401,10000,./bin/main
BGF,1,2,11501,10000,./bin/main
BGF,1,2,11601,10000,./bin/main
BGF,1,2,11701,10000,./bin/main
BGF,1,2,11801,10000,./bin/main
BGF,1,2,11901,10000,./bin/main
BGF,1,2,12001,10000,./bin/main
BGF,1,3,9501,500000,./bin/main
BGF,1,3,9601,500000,./bin/main
BGF,1,3,9701,500000,./bin/main
BGF,1,3,9801,500000,./bin/main
BGF,1,3,9901,500000,./bin/main
BGF,1,3,10001,500000,./bin/main
BGF,1,3,10101,1000000,./bin/main
BGF,1,3,10201,5000000,./bin/main
BGF,1,3,10251,5000000,./bin/main
BGF,1,3,10301,10000000,./bin/main
BGF,1,3,10351,10000000,./bin/main
BGF,1,3,10401,10000000,./bin/main
BGF,1,3,10451,10000000,./bin/main
BGF,1,3,10501,10000000,./bin/main
BGF,1,3,10551,10000000,./bin/main
BGF,1,3,10601,10000000,./bin/main
BGF,1,3,10651,10000000,./bin/main
BGF,1,4,9501,500000,./bin/main
BGF,1,4,9601,500000,./bin/main
BGF,1,4,9701,500000,./bin/main
BGF,1,4,9801,500000,./bin/main
BGF,1,4,9901,500000,./bin/main
BGF,1,4,10001,5000000,./bin/main
BGF,1,4,10051,5000000,./bin/main
BGF,1,4,10101,50000000,./bin/main
BGF,1,4,10151,50000000,./bin/main
BGF,1,4,10201,50000000,./bin/main
BGF,1,4,10251,100000000,./bin/main
BGF,1,4,10301,38393700,./bin/main
BGF,1,5,9501,500000,./bin/main
BGF,1,5,9601,500000,./bin/main
BGF,1,5,9701,500000,./bin/main
BGF,1,5,9801,500000,./bin/main
BGF,1,5,9901,500000,./bin/main
BGF,1,5,10001,50000000,./bin/main
BGF,1,5,10051,50000000,./bin/main
BGF,1,5,10101,50000000,./bin/main
BGF,1,5,10151,50000000,./bin/main